Fracción;Uso;Impuesto importación
0701 - Papas (patatas) frescas o refrigeradas;Para Siembra;4,50%
0701 - Papas (patatas) frescas o refrigeradas;Fabricación de fécula;5,80%
0701 - Papas (patatas) frescas o refrigeradas;Las demas ;11,50%
0702 - Tomates frescos o refrigerados;Todos ;Impuesto sujeto a precio de entrada.
"0703 - Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrige
rados: ";Todas Cebollas ;9,60%
"0703 - Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrige
rados: ";Todos Chalotes;9,60%
"0703 - Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrige
rados: ";Ajos ;9,6% + 120 €/ 100 kg/net 
"0703 - Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrige
rados: ";Puerros y demas;10,40%
0704 - Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados;Coliflores y brécoles («broccoli»);"— Del 1 de enero al 14 de abril: 9,6 MIN 1,1 €/100 kg/neto. 
— Del 15 de abril al 30 de noviembre: 13,6 MIN 1,6 €/100 kg/neto.
— Del 1 al 31 de diciembre: 9,6 MIN 1,1 €/100 kg/neto."
0704 - Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados;Coles (repollitos) de Bruselas;12%
0704 - Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados;Coles blancas y rojas (lombardas);12 MIN 0,4 €/ 100 kg/net
0704 - Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados;Las demas ;12%
"0705 - Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia 
(Cichorium spp.), frescas o refrigeradas";Lechugas Repolladas;" — Del 1 de enero al 31 de marzo: 10,4 MIN 1,3 €/100 kg/br.
— Del 1 de abril al 30 de noviembre: 12 MIN 2 €/100 kg/br.
— Del 1 al 31 de diciembre: 10,4  MIN 1,3 €/100 kg/br."
"0705 - Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia 
(Cichorium spp.), frescas o refrigeradas";Demas Lechugas;10,40%
"0705 - Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia 
(Cichorium spp.), frescas o refrigeradas";Achicorias, comprendidas la escarola y la endibia,;10,40%
"0706 - Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y 
raíces comestibles similares, frescos o refrigerados";Zanahorias y nabos;13,6% **Contingentes arancelarios OMC,
"0706 - Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y 
raíces comestibles similares, frescos o refrigerados";Apionabos;" — Del 1 de enero al 30 de abril: 13,6%.
— Del 1 de mayo al 30 de septiembre: 10,4%.
— Del 1 de octubre al 31 de diciembre: 13,6%."
"0706 - Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y 
raíces comestibles similares, frescos o refrigerados";Rábanos rusticanos (Cochlearia armoracia);12%
"0706 - Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y 
raíces comestibles similares, frescos o refrigerados";Los demas;13,60%
0707 - Pepinos y pepinillos, frescos o refrigerados;Pepinos;Impuesto sujeto a precio de entrada.
0707 - Pepinos y pepinillos, frescos o refrigerados;Pepinillos;12,80%
0708 -Hortalizas de vaina, aunque estén desvainadas, frescas o refrigeradas;Guisantes (arvejas, chícharos) (Pisum sativum);"— Del 1 de enero al 31 de mayo: 8%. 
— Del 1 de junio al 31 de agosto: 13,6%.
 — Del 1 de septiembre al 31 de diciembre: 8%."
