Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;África y Oceanía;Consolidado;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;América del Norte;Consolidado;312.736.318,26
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Asia;Consolidado;78.593.047,43
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Latinoamérica y Antillas;Consolidado;10.682.185,73
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Otros;Consolidado;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;No identificados de la U.E.;741.903,78
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Albania;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Alemania;371.135,64
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Austria;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Bélgica;
